lean	ocaml	recursive	Code.let	Code.fun	Code.jp	Code.jmp	Code.cases	Code.return	Code.unreach	LetValue.lit	LetValue.erased	LetValue.proj	LetValue.const	LetValue.fvar	LitValue.nat	LitValue.str	LitValue.uint8	LitValue.uint16	LitValue.uint32	LitValue.uint64	LitValue.usize	Arg.erased	Arg.fvar	Arg.type	Alt.alt	Alt.default	DeclValue.code	DeclValue.extern	declHash
Effect4.Machine.stepDecisionState._at_.Effect4.Program.replayCheckedFrom.spec_1	step_decision_state_at_program_replay_checked_from_spec_1	false	55	0	2	4	14	12	0	2	0	0	53	0	2	0	0	0	0	0	0	116	127	0	27	0	1	0	14860131882404440357
Effect4.Api.compileReasons	api_compile_reasons	false	3	0	0	0	1	1	0	1	0	0	2	0	1	0	0	0	0	0	0	1	3	0	1	0	1	0	15794779130667177542
Effect4.Api.hostReasons	api_host_reasons	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	7710475183915582262
Effect4.Api.timerReasons	api_timer_reasons	false	2	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	4	0	1	0	5331254207316368422
Effect4.Api.hasRunnable	api_has_runnable	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	16725060698137984415
Effect4.Machine.finExit._redArg	fin_exit	false	5	0	0	0	2	3	0	0	0	0	5	0	0	0	0	0	0	0	0	13	3	0	2	2	1	0	13647692196439575444
Effect4.Exit.void	exit__void	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	5871985019515252759
Effect4.Program.runStmts	program_run_stmts	true	63	0	1	2	13	14	0	2	0	0	61	0	2	0	0	0	0	0	0	81	135	0	25	2	1	0	12438272182861262719
Effect4.Program.embedStep	program_embed_step	false	5	0	0	0	1	3	0	0	0	0	5	0	0	0	0	0	0	0	0	24	6	0	3	0	1	0	8428449689446539325
Effect4.Program.loopNextAt	program_loop_next_at	false	15	0	1	2	6	4	0	1	0	0	14	0	1	0	0	0	0	0	0	10	21	0	8	2	1	0	6445432497647134531
Effect4.Program.loopResumeAt	program_loop_resume_at	false	11	0	0	0	5	3	0	0	0	0	11	0	0	0	0	0	0	0	0	7	15	0	7	0	1	0	5325654463557320377
Effect4.Program.cancelProgramOf	program_cancel_program_of	false	10	0	1	2	2	4	0	0	0	0	10	0	0	0	0	0	0	0	0	14	13	0	4	2	1	0	12298872831998226143
Effect4.Program.embed	program_embed	true	41	0	0	0	2	19	0	0	0	0	41	0	0	0	0	0	0	0	0	135	53	0	20	0	1	0	9135394307271402944
Effect4.Program.actionAt	program_action_at	false	127	0	0	0	38	54	0	9	0	0	118	0	3	0	6	0	0	0	0	237	147	0	73	18	1	0	1572125877043702857
Effect4.Program.forkScopedAt	program_fork_scoped_at	false	12	0	0	0	5	5	0	1	0	0	11	0	1	0	0	0	0	0	0	15	13	0	5	4	1	0	5005534021156189596
