module	original_radius38	historical_module	raw_closed	admissible_closed	total_theorems	source_path	source_sha256	olean_sha256	module_log	module_log_sha256	process_id
Effect4.Laws.Program.Typed.State	false		0	0	1	src/Effect4/Laws/Program/Typed/State.lean	1e425053e9328a70123e1cdc14efa7ce1ff376df8e2bd5c3f73b76feca541ca2	fc47e0367a00af5d20257baa132cbe77eaf55200e5c7bdfedeb53a8aa16d24a0	before-fill/module-logs/Effect4.Laws.Program.Typed.State.log	67cb1a91d54f34ab80b65beff8e09ec79430b4d510cc55ed1f2745a6c6b866ba	067-Effect4.Laws.Program.Typed.State
Effect4.Laws.Program.Typed.TypedSources	false		0	0	0	src/Effect4/Laws/Program/Typed/TypedSources.lean	ec03aae15355c6315aed1da6ccbffd72e1a4bf7f430414d4c190efcbbe9a428c	79fed52990f31cd03ad467267ecbd93b4733053c77be3d9bdccb388a7c16c929	before-fill/module-logs/Effect4.Laws.Program.Typed.TypedSources.log	a528616d51e63ffa28aa8ef277cce596545ee8e1a4a13305cc178a539a689767	000-ZeroCandidates
Effect4.Laws.Program.Typed.TypedStateDecl	false		0	0	0	src/Effect4/Laws/Program/Typed/TypedStateDecl.lean	022747705b707456a416034739ae4fbcd027d239c49fbb0db1dfd474598f4ba1	888d6ce44c2054bf92d4d4703706434d1f8674cad4d9326068f35b621cd7db67	before-fill/module-logs/Effect4.Laws.Program.Typed.TypedStateDecl.log	5fdaf2f169962e17f10a2e3f5f5b45d2bb50c255cdf932cde8fc7e5b73d632f4	000-ZeroCandidates
Effect4.Laws.Program.Typed.Vocabulary	false		0	0	0	src/Effect4/Laws/Program/Typed/Vocabulary.lean	31fecfaadbe48b538bb1c2d1e2f42d381b08ea84328ad35b77d01085ea8af70b	b9e761d2aee577823025e6415433bbb41bbe008df1df08abcf4c8407ebe92b1d	before-fill/module-logs/Effect4.Laws.Program.Typed.Vocabulary.log	bb93a2250841130da73d8bf0fa036c4dae76c8bc4adeee8852135a575072fee0	138-Effect4.Laws.Program.Typed.Vocabulary
Effect4.Laws.Program.Typed.World	false		0	0	0	src/Effect4/Laws/Program/Typed/World.lean	54b548d1421bf1ac0028e6f50a26c46508b46f92d254f9ca4e12a1e9fc91caa0	78030fce98b32f0febf6709d5af54e48a98ec7dae6be0cc3481f6edd30ac0082	before-fill/module-logs/Effect4.Laws.Program.Typed.World.log	4dbcc136c84d6a442c6f357fb0e68b5c2de4221c74e58da0a1bbf72e2f26fc23	126-Effect4.Laws.Program.Typed.World
Effect4.Laws.Program.Typing.FoldAgreement	false		0	0	6	src/Effect4/Laws/Program/Typing/FoldAgreement.lean	868d3879fe54bc4067dc51ce4584217705d222e532ba84ea198474a012f52f5b	126be6b23f13d517c1e8d849d3b1267aa94e0389ee168cc772ad23b7f40c2976	before-fill/module-logs/Effect4.Laws.Program.Typing.FoldAgreement.log	86bc28b5755270efd76e65bc3daec4595903e01492a8262a076bd69884c98819	068-Effect4.Laws.Program.Typing.FoldAgreement
Effect4.Laws.Program.ValueModel	false		0	0	1	src/Effect4/Laws/Program/ValueModel.lean	d4fbd13f5e1d086755aa524beffbed0045afad03e51d5505f8ca6753d82a0a76	ebab8f5305c1a10a27f9954cb8af85b454ea04ffb1f3383dfa3e598cf44ce324	before-fill/module-logs/Effect4.Laws.Program.ValueModel.log	5992a9a4c4060322c4d1475fbed324b227855486b103b2fd2ae5ee07a0f3bd1a	000-ZeroCandidates
Effect4.Laws.Run	true	Effect4.Laws.Run	23	23	67	src/Effect4/Laws/Run.lean	7f62fa573cccd55c59a01d2a409272acc1feb960f2375ae0e5016351cbc517e2	11fb3ce3f2c6235e5472cd08421ab808c8a0129a3f590907f806a44318f54ba7	before-fill/module-logs/Effect4.Laws.Run.log	473a9d379f9be1ce9ae4e48c0f818022566108a0485c7d2d218ca3f6d6f5dd95	069-Effect4.Laws.Run
Effect4.Laws.Store.CanonicalSpec	false		0	0	2	src/Effect4/Laws/Store/CanonicalSpec.lean	77cac3c3e3f79bc116bd0b04ad3a090162a4294f475628e0f5f7610b42d31bb9	2792fac29b1e3bbe2ac6e289a1831c0217ce085c2dfbf9ee2c65bc62bdcc83d5	before-fill/module-logs/Effect4.Laws.Store.CanonicalSpec.log	fd0dbe507a8065cfc2d3603e7cb15b0d02b2e442fe70bf4dfa126d24fb24bb1d	070-Effect4.Laws.Store.CanonicalSpec
Effect4.Laws.Store.Folds.Val	false		0	0	0	src/Effect4/Laws/Store/Folds/Val.lean	769c3cdc1e56d74dd5f3c187a3a6b3b178b29197a81d7d34b2be15a4f7f27aaa	7267b414f978d9ff9c12e5444cb7725d2a7648fcbf3177d399e4af43944142e6	before-fill/module-logs/Effect4.Laws.Store.Folds.Val.log	3d146ab7a83049afd90eba9b3816fb5224645296d30afb4b2a600d3fbd55f6ac	000-ZeroCandidates
Effect4.Machine.Fibers	false		0	0	0	src/Effect4/Machine/Fibers.lean	acc2e0605aaf81c14e1c604ef476d5c02ebeca3a28ff3ed7200a21eb51f61649	fe12a4de80814786e67941145805e960f11605f09e3495c1a07e17c0fc316f2d	before-fill/module-logs/Effect4.Machine.Fibers.log	667dfdbae9d9af5c8369e4977ce99aab3d9c823138caff748bb0a99aa9586ef8	000-ZeroCandidates
Effect4.Machine.Stores	true	Effect4.Machine.Stores	30	30	116	src/Effect4/Machine/Stores.lean	53931549b795628129b0e98a6b53b737bcd86d7cf713911e6c2ef3ab801078b1	cb8856b38732dfdc35457cf1afe35eb0c0b26f31a93e0386d50b530a541ed29a	before-fill/module-logs/Effect4.Machine.Stores.log	1f738dd1cd72644e96a643539e542d78c8e5113fb653d34445405de72cd595cf	071-Effect4.Machine.Stores
Effect4.Machine.Timer	false	Effect4.Machine.Timer	0	0	17	src/Effect4/Machine/Timer.lean	f333df352e0ece26d283438ea2a8640b879d82e63f6472ac692ff22e5b33ffb7	568e03137e8edb32775e27e1f5b4fdf4e797aef39da15b6786228b78523abc3b	before-fill/module-logs/Effect4.Machine.Timer.log	aedd9922af38fe8ab5cff23365a566fe7099d55f17745c4dca391f9a00b013d7	072-Effect4.Machine.Timer
Effect4.Machine.Value	false		2	2	8	src/Effect4/Machine/Value.lean	6fea7879bb27681c3cb4cd06db747e04b3d66f0aeaa56c7f7cdd31bfa8401a31	a10a37a5b549a155fe209360be479afac96380ca89e0f4cc02fcb1de9cc5f0f0	before-fill/module-logs/Effect4.Machine.Value.log	6620f20e80609fe70fdaa159e42733839b4598baad242fa38f0d23b84a4be2ed	073-Effect4.Machine.Value
Effect4.Program.Admit	true	Effect4.Program.Admit	0	0	8	src/Effect4/Program/Admit.lean	25fecfc6404abccf2bd6cbd6c0c800c674c9da73c0a90f7a540685107fef266a	dbc662e665520fa130f74f9245a2126faa783a5058ece6c42be2fceca57a8c3a	before-fill/module-logs/Effect4.Program.Admit.log	56777d98b5c827c1b1e3c7278e6ff0c3a3ddfad6a5e6952ebb535bed8b41f957	074-Effect4.Program.Admit
Effect4.Program.Compile	true	Effect4.Program.Compile	1	1	3	src/Effect4/Program/Compile.lean	fb3ddbe84f27ff14cfd5cefe67e702836ebc6841245ff24d592451a234f42e6a	6aa5f5d621c78058548ff9d132c99696ec51843d1757a7e72a8db1c2e3d3eff2	before-fill/module-logs/Effect4.Program.Compile.log	28929b0806bdbd7ef567ed2c894f60270039d58c8bab7720e72f160431f6cc37	075-Effect4.Program.Compile
Effect4.Program.ConfigValue	false		0	0	4	src/Effect4/Program/ConfigValue.lean	ce4ed4457de61a6b369db13a064276506240f8bed01ea284acd236cdf43ed1d9	dcfa3c6d321b738fa843371f67ef57c05a0af0a6ade039a7fc56bf16315c6216	before-fill/module-logs/Effect4.Program.ConfigValue.log	57bce1eb6ff0c456755652286b5e8bf8c86e73e43f87c7a5721d7a862e65c849	076-Effect4.Program.ConfigValue
Effect4.Program.Decision	false		0	0	1	src/Effect4/Program/Decision.lean	1db477f9ccceff5258c9bc3f9c7bd621938f194056623b62bb9d1617c3073249	9f557eb935bc1e5d13d3da508139dde8641be541277b1738d09d4d4edb00c782	before-fill/module-logs/Effect4.Program.Decision.log	458bd7462c28ab9ea551e03cc4a8be5c9f20d1445dbb9545446374ece3f7ba9c	077-Effect4.Program.Decision
Effect4.Program.Packages	false		0	0	0	src/Effect4/Program/Packages.lean	9fec7eeb98c29bede2d9ef855e7498e5ee3e7ab290740bcc3c4d6b6f73c36489	0b3ea7d7a94ecf94454da0406bcb86e23c3dc85edd1389d1b38d2dabf9eea10e	before-fill/module-logs/Effect4.Program.Packages.log	bf3722d998f1c44f3066accc823546d7e064b72714bb45fef3106a1558885db8	000-ZeroCandidates
