theorem	axioms
Effect4.FrameFiber.popFrom_continue_popped	[propext]
Effect4.FrameFiber.popFrom_deferredInterrupt	[propext]
Effect4.FrameFiber.popFrom_events_cause	[propext, Quot.sound]
Effect4.FrameFiber.popFrom_fiber_cause	[propext, Quot.sound]
Effect4.FrameFiber.popFrom_interruptedCause	[propext]
Effect4.FrameFiber.popFrom_never_skips	[propext]
Effect4.FrameFiber.popFrom_nil	[propext]
Effect4.FrameFiber.popFrom_pass_no_push	[propext]
Effect4.FrameFiber.popFrom_popped_cause	[propext, Quot.sound]
Effect4.FrameFiber.popFrom_popped_eq_events	[propext, Quot.sound]
Effect4.FrameFiber.popFrom_ranContAll	[propext]
Effect4.FrameFiber.popLive._unary._proof_1	[propext, Quot.sound]
Effect4.FrameFiber.popLive._unary.eq_def	[propext, Quot.sound]
Effect4.FrameFiber.popLive.eq_1	[propext, Quot.sound]
Effect4.FrameFiber.popLive.eq_def	[propext, Quot.sound]
Effect4.FrameFiber.popLive_eq_popFrom	[propext, Quot.sound]
Effect4.FrameFiber.restoreAcquire_asked	[]
Effect4.FrameFiber.restoreAcquire_not_asked	[]
Effect4.FrameFiber.resumeCause.eq_1	[propext]
Effect4.FrameFiber.resumeCause_deferred	[propext]
Effect4.FrameFiber.resumeCause_empty	[propext]
Effect4.FrameFiber.resumeCause_frame	[propext]
Effect4.FrameFiber.resumeCause_replacement	[propext]
Effect4.FrameFiber.resumeValue.eq_1	[propext]
Effect4.FrameFiber.resumeValue_deferred	[propext]
Effect4.FrameFiber.resumeValue_empty	[propext]
Effect4.FrameFiber.resumeValue_frame	[propext]
Effect4.FrameFiber.resumeValue_onSuccessConst	[propext]
Effect4.FrameFiber.resumeValue_replacement	[propext]
Effect4.FrameFiber.run.eq_1	[propext]
Effect4.FrameFiber.run.eq_2	[propext]
Effect4.FrameFiber.run.eq_def	[propext]
Effect4.FrameFiber.run_add	[propext, Quot.sound]
Effect4.FrameFiber.run_add._proof_1_1	[propext, Quot.sound]
Effect4.FrameFiber.run_add_finished	[propext, Quot.sound]
Effect4.FrameFiber.run_add_running	[propext, Quot.sound]
Effect4.FrameFiber.run_mono	[propext, Quot.sound]
Effect4.FrameFiber.run_preserves_uninterrupted	[propext, Quot.sound]
Effect4.FrameFiber.run_succ_finished	[propext]
Effect4.FrameFiber.run_succ_running	[propext]
Effect4.FrameFiber.run_zero	[propext]
Effect4.FrameFiber.setFiberInterruptible.eq_1	[]
Effect4.FrameFiber.setFiberInterruptible_flag	[]
Effect4.FrameFiber.setFiberInterruptible_immediate_failure	[propext]
Effect4.FrameFiber.setFiberInterruptible_no_pending	[propext]
Effect4.FrameFiber.setFiberInterruptible_pushes	[]
Effect4.FrameFiber.skippedCause.eq_1	[]
Effect4.FrameFiber.skippedCause.eq_2	[]
Effect4.FrameFiber.skippedCause_no_pending	[propext]
Effect4.FrameFiber.skippedCause_none	[]
Effect4.FrameFiber.stack_nil_eq	[propext]
Effect4.FrameFiber.start_eq	[]
Effect4.FrameFiber.step.eq_1	[propext]
Effect4.FrameFiber.step_asyncFinalizer_not_evaluable	[propext]
Effect4.FrameFiber.step_async_frontier	[propext]
Effect4.FrameFiber.step_exitFrame	[propext]
Effect4.FrameFiber.step_failure	[propext]
Effect4.FrameFiber.step_iterator	[propext]
Effect4.FrameFiber.step_ofExit_finishes	[propext]
Effect4.FrameFiber.step_onExit	[propext]
Effect4.FrameFiber.step_onFailure	[propext]
Effect4.FrameFiber.step_onSuccess	[propext]
Effect4.FrameFiber.step_onSuccessAndFailure	[propext]
Effect4.FrameFiber.step_onSuccessConst	[propext]
Effect4.FrameFiber.step_parking_is_a_fixed_point	[propext]
Effect4.FrameFiber.step_preserves_uninterrupted	[propext, Quot.sound]
Effect4.FrameFiber.step_scopedFrame	[propext]
Effect4.FrameFiber.step_setInterruptible_not_evaluable	[propext]
Effect4.FrameFiber.step_success	[propext]
Effect4.FrameFiber.step_success_onSuccessConst	[propext]
Effect4.FrameFiber.step_suspend	[propext]
Effect4.FrameFiber.step_sync	[propext]
Effect4.FrameFiber.step_whileLoop_false	[propext]
Effect4.FrameFiber.step_whileLoop_true	[propext]
Effect4.FrameFiber.step_withFiber	[propext]
Effect4.FrameFiber.step_yieldNowWith_frontier	[propext]
Effect4.FrameFiber.step_yieldableError	[propext]
Effect4.FrameFiber.uninterruptible.eq_1	[]
Effect4.FrameFiber.uninterruptibleMask_eq	[]
Effect4.FrameFiber.uninterruptible_already_masked	[propext]
Effect4.FrameFiber.uninterruptible_masks	[propext]
Effect4.FramePop.deliveredExit.eq_1	[]
Effect4.FramePop.deliveredExit.eq_2	[]
Effect4.FramePop.mk.inj	[]
Effect4.FramePop.mk.injEq	[propext]
Effect4.FramePop.mk.sizeOf_spec	[]
Effect4.FrameStep.finished.inj	[]
Effect4.FrameStep.finished.injEq	[propext]
Effect4.FrameStep.finished.sizeOf_spec	[]
