== deep_clauses: one entry per `Effect4/Deep/Clauses.lean` theorem, evaluated on the avatar
clause	fireObserver_raceCallback_pending	Clauses.lean:1158	fork.race-all	HOLDS
clause	drive_launch_done	Clauses.lean:1171	fork.race-all	HOLDS
clause	drive_launch_exhausted	Clauses.lean:1181	fork.race-all	HOLDS
clause	drive_launch_runs	Clauses.lean:1191	fork.race-all	HOLDS
clause	drive_link	Clauses.lean:1210	fork.in	HOLDS
clause	withFiber_fork	Clauses.lean:1222	fork.child	HOLDS
clause	withFiber_forkIn	Clauses.lean:1237	fork.in	HOLDS
clause	withFiber_forkScoped_ambient	Clauses.lean:1251	fork.scoped	NOT PORTABLE: `χ = unit`: the avatar's context carries no ambient `Scope` service (A0 §18), so the `_ambient` arm has no instance
clause	withFiber_forkScoped_none	Clauses.lean:1269	fork.scoped	HOLDS
clause	linkScope_open	Clauses.lean:1281	fork.in	HOLDS
clause	linkScope_open_exited	Clauses.lean:1296	fork.fiber-run-in	HOLDS
clause	withFiber_closeScope	Clauses.lean:1308	scope.close-sequential	HOLDS
clause	withFiber_closeScope_unknown	Clauses.lean:1318	scope.close-sequential	HOLDS
clause	withFiber_interrupt	Clauses.lean:1328	fork.interrupt	HOLDS
clause	withFiber_interruptScoped_self	Clauses.lean:1336	fork.interrupt	HOLDS
clause	withFiber_interruptScoped_other	Clauses.lean:1345	fork.interrupt	HOLDS
clause	interruptThenJoin_eq	Clauses.lean:1355	fork.interrupt	HOLDS
clause	interruptThenJoin_unknown	Clauses.lean:1369	fork.interrupt	HOLDS
clause	withFiber_interruptAll	Clauses.lean:1379	fork.interrupt-all	HOLDS
clause	launchEntrant_eq	Clauses.lean:1395	rule.only-fork-child-tracks	HOLDS
clause	withFiber_raceAll	Clauses.lean:1408	fork.race-all	HOLDS
clause	withFiber_dropObservers	Clauses.lean:1428	fork.await	HOLDS
clause	withFiber_cancelRace	Clauses.lean:1443	fork.race-all	HOLDS
clause	withFiber_cancelRace_unknown	Clauses.lean:1458	fork.race-all	HOLDS
clause	evaluatePrim_async_immediate	Clauses.lean:1468	op.Async	HOLDS
clause	evaluatePrim_async_parks	Clauses.lean:1486	op.Async	HOLDS
clauses	126	holds	121	fails	0	not-portable	5

== deep_witnesses: one entry per `Effect4/Deep/Witnesses.lean` theorem, run through the avatar
witness	w1_deferred_join_parent	Witnesses.lean:287	rows	
  statement	HOLDS
  sweep	20 step clauses over every event	all hold
witness	w1_deferred_join_child	Witnesses.lean:291	rows	fork.child
  statement	HOLDS
  clause	Effect4.Deep.Witnesses.w1_deferred_join_child	not transferred (not a `Clauses.lean` theorem)
  clause	Effect4.Deep.Witnesses.w1_deferred_start_is_a_task	not transferred (not a `Clauses.lean` theorem)
  clause	Effect4.Deep.Witnesses.w5_middleware_interrupts_children	not transferred (not a `Clauses.lean` theorem)
  clause	Effect4.Deep.drive_finish	HOLDS (pure, evaluated once above)
  clause	Effect4.Deep.exitFiber_eq	HOLDS (pure, evaluated once above)
  clause	Effect4.Deep.exitFiber_no_middleware	HOLDS (pure, evaluated once above)
  clause	Effect4.Deep.exitStore_fields	HOLDS on this run
  clause	Effect4.Deep.exitStore_fires	HOLDS on this run
  clause	Effect4.Deep.fireObserver_resumeAwait	HOLDS (pure, evaluated once above)
  clause	Effect4.Deep.stepDecision_installMiddleware	HOLDS (pure, evaluated once above)
